"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1942",2660,"As water rises in west Houston, so does frustration
https://t.co/a02xXCqfsT #khou #hounews #HurricaneHarvey https://t.co/QIQjxEJTWz",FALSE,21,NA,"2017-09-04 22:38:39",FALSE,NA,904836129911951360,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KHOU",21,FALSE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/876884129383632896/kCJJ_Sw7_normal.jpg"
"1943",2661,"The latest Your Anon Daily! https://t.co/uAoCcLpJy6 #hurricaneharvey",FALSE,0,NA,"2017-09-04 22:38:37",FALSE,NA,904836123033260032,NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","YourAnonDaily",0,FALSE,FALSE,NA,NA,"Internet","de","http://pbs.twimg.com/profile_images/2551929044/0p9t179lwmo2etgda3op_normal.jpeg"
"1944",2662,"RT @GregAbbott_TX: Thanks to the National Guard for helping Texans respond to #HurricaneHarvey. Together we will rebuild. @TexasGuard https…",FALSE,0,NA,"2017-09-04 22:38:31",FALSE,NA,904836097783549952,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlaimsecond",249,TRUE,FALSE,NA,NA,"TEXAS FOREVER","en","http://pbs.twimg.com/profile_images/899875125075562496/kaeZLp2s_normal.jpg"
"1945",2663,"RT @kwilli1046: How Would Your Rate Trump's Leadership on #HurricaneHarvey?",FALSE,0,NA,"2017-09-04 22:38:30",FALSE,NA,904836095988436992,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danmulchman",1087,TRUE,FALSE,NA,NA,"Cinci via BHS","en","http://pbs.twimg.com/profile_images/1266099809/reds_normal.jpg"
"1946",2664,"RT @KHOU: $19 MILLION!!! #JJWatt is getting closer to his fundraising goal for #HurricaneHarvey relief. https://t.co/9KWahLd3NE https://t.c…",FALSE,0,NA,"2017-09-04 22:38:28",FALSE,NA,904836083497787392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hsazci",170,TRUE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/758298125765271553/XmEJ1_-9_normal.jpg"
"1947",2666,"RT @SamaritansPurse: Families across #Texas are facing a long road to recovery after #HurricaneHarvey. We will be there to help them. https…",FALSE,0,NA,"2017-09-04 22:38:24",FALSE,NA,904836066947072000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ne32043321Larry",43,TRUE,FALSE,NA,NA,"Hickory, NC","en","http://pbs.twimg.com/profile_images/772140415852175360/mvlC1Ya0_normal.jpg"
"1948",2667,"RT @GregAbbott_TX: Thanks to the National Guard for helping Texans respond to #HurricaneHarvey. Together we will rebuild. @TexasGuard https…",FALSE,0,NA,"2017-09-04 22:38:23",FALSE,NA,904836063323189248,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TexasSwingerr",249,TRUE,FALSE,NA,NA,"Anywhere and Everywhere","en","http://pbs.twimg.com/profile_images/704452149665624064/_YTcG0D-_normal.jpg"
"1949",2668,"RT @davidduchovny: We are donating all ticket and merch proceeds from my Oct. 14th Vancouver concert to #HurricaneHarvey. See you there htt…",FALSE,0,NA,"2017-09-04 22:38:19",FALSE,NA,904836046193438720,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hipfan12",564,TRUE,FALSE,NA,NA,"canada","en","http://pbs.twimg.com/profile_images/723239554652602368/iytM5jYG_normal.jpg"
"1950",2669,"RT @TAMU: Aggie @VonMiller to give $100,000 to support #HurricaneHarvey relief efforts through @bthoharvey! https://t.co/qUidK4Y660 #BTHOha…",FALSE,0,NA,"2017-09-04 22:38:17",FALSE,NA,904836038450974720,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaquelynnpham",336,TRUE,FALSE,NA,NA,"TX","en","http://pbs.twimg.com/profile_images/890964717220618240/Re9yoO0z_normal.jpg"
"1951",2670,"RT @RyanAFournier: A picture worth a thousand words... #HurricaneHarvey https://t.co/ZM3Yi441FC",FALSE,0,NA,"2017-09-04 22:38:16",FALSE,NA,904836035754024960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kaybirds",10404,TRUE,FALSE,NA,NA,"I thought America-Until obama","en","http://pbs.twimg.com/profile_images/751497993002504192/mXkJMVX1_normal.jpg"
"1952",2673,"RT @GregAbbott_TX: Price gouging of those affected by #HurricaneHarvey is un-Texan &amp; will be vigorously prosecuted. #txlege https://t.co/jR…",FALSE,0,NA,"2017-09-04 22:38:10",FALSE,NA,904836011401904128,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rubstter",424,TRUE,FALSE,NA,NA,"Dallas,Texas","en","http://pbs.twimg.com/profile_images/378800000790040076/25997974c6ad9aaf0f1e12b77f75b817_normal.jpeg"
"1953",2674,"RT @TargetNews: Proud of our teams &amp; their families helping w/ #HurricaneHarvey cleanup &amp; getting supplies to impacted neighborhoods https:…",FALSE,0,NA,"2017-09-04 22:38:10",FALSE,NA,904836008352645120,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NNacewicz",111,TRUE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/760814599851560960/i-6a2Jbd_normal.jpg"
